Age Group,Gender,Nationality,Employment Status,Monthly Income,Hotel Stay Frequency,Stay Duration,Purpose of Travel,Preferred Room Type,Booking Channel,Services Used,Spa Rating,Dining Rating,Room Service Rating,Cleanliness Rating,Preferred Bundles,Service Time,In Loyalty Program,Loyalty Tier,Reward Redemption Frequency,Overall Experience Rating,Would Recommend,Comfort Spend Range,Willing to Try Offers,Issues Faced
26–35,Male,Vanuatu,Employed,51K–75K,3–5,3–5,Leisure,Budget,Hotel Website,Airport Pickup,2,4,2,2,Wellness Package,Afternoon,Yes,Platinum,Rarely,4,Probably Yes,₹8001–₹12000,No,Limited Food Options
51–65,Female,Pitcairn Islands,Employed,76K–1L,6–10,3–5,Business,Budget,Hotel Website,Restaurant,4,3,3,4,Spa + Dinner,Afternoon,Yes,Gold,Rarely,5,Not Sure,₹5001–₹8000,Yes,"Limited Food Options, Delayed Check-in, Limited Wellness Services"
36–50,Female,Antigua and Barbuda,Unemployed,25K–50K,6–10,6–10,Medical,Deluxe,OTA,"Gym, Restaurant, Pool",4,3,4,4,Gym + Breakfast,Evening,No,None,Rarely,4,Probably No,₹8001–₹12000,No,Delayed Check-in
36–50,Female,Senegal,Employed,51K–75K,1–2 times,3–5,Leisure,Deluxe,Agent,"Restaurant, Airport Pickup",4,4,5,5,Gym + Breakfast,Morning,Yes,Silver,Sometimes,4,Definitely Yes,₹8001–₹12000,Yes,Limited Wellness Services
18–25,Female,Timor-Leste,Employed,51K–75K,1–2 times,6–10,Business,Standard,Hotel Website,"Gym, Pool",3,5,4,2,"Wellness Package, Gym + Breakfast",Evening,Yes,Gold,Frequently,5,Definitely Yes,₹5001–₹8000,Yes,"Limited Wellness Services, Limited Food Options"
18–25,Female,Costa Rica,Self-Employed,76K–1L,3–5,1–2 days,Other,Standard,OTA,"Spa, Room Service",2,3,3,5,Wellness Package,Evening,Yes,Gold,Sometimes,3,Definitely Yes,₹5001–₹8000,No,Delayed Check-in
18–25,Female,Bouvet Island (Bouvetoya),Employed,>1L,3–5,6–10,Leisure,Standard,Hotel Website,Room Service,3,4,3,4,Gym + Breakfast,Evening,Yes,Basic,Sometimes,3,Definitely Yes,₹2000–₹5000,No,"High Prices, Limited Food Options, Limited Wellness Services"
51–65,Female,Philippines,Self-Employed,<25K,3–5,6–10,Business,Budget,OTA,Spa,4,4,4,4,Wellness Package,Evening,Yes,Gold,Rarely,4,Definitely Yes,₹2000–₹5000,Yes,
36–50,Male,Turkey,Student,51K–75K,6–10,1–2 days,Leisure,Standard,Hotel Website,"Airport Pickup, Spa, Pool, Gym",4,4,3,5,Wellness Package,Morning,Yes,Basic,Rarely,3,Definitely Yes,>₹12000,Yes,"Poor Staff Behavior, High Prices, Lack of Cleanliness"
36–50,Female,Bangladesh,Employed,<25K,1–2 times,3–5,Business,Standard,OTA,Spa,3,3,4,4,Spa + Dinner,Afternoon,Yes,Platinum,Rarely,3,Probably Yes,₹8001–₹12000,No,"Limited Wellness Services, Lack of Cleanliness, Delayed Check-in"
18–25,Male,Western Sahara,Student,51K–75K,1–2 times,1–2 days,Medical,Standard,Agent,Spa,4,5,4,4,Spa + Dinner,Morning,Yes,Silver,Sometimes,3,Not Sure,<₹2000,No,Limited Wellness Services
>65,Prefer not to say,Saint Martin,Student,25K–50K,3–5,6–10,Medical,Deluxe,OTA,Pool,3,2,4,4,Spa + Dinner,Afternoon,Yes,Gold,Rarely,2,Not Sure,₹8001–₹12000,No,"Delayed Check-in, Limited Food Options, Limited Wellness Services"
51–65,Female,Cyprus,Unemployed,25K–50K,6–10,3–5,Other,Standard,Hotel Website,"Restaurant, Spa",4,3,3,3,"Wellness Package, Spa + Dinner",Late Night,No,None,Rarely,4,Probably Yes,<₹2000,No,Limited Food Options
26–35,Male,Gabon,Employed,25K–50K,1–2 times,3–5,Leisure,Budget,OTA,"Restaurant, Spa",3,4,5,3,Wellness Package,Evening,Yes,Platinum,Sometimes,4,Probably Yes,₹5001–₹8000,Yes,"Lack of Cleanliness, High Prices"
26–35,Female,United Kingdom,Employed,51K–75K,3–5,1–2 days,Leisure,Standard,Hotel Website,Spa,4,4,3,3,Spa + Dinner,Evening,Yes,Platinum,Rarely,4,Probably No,<₹2000,No,Lack of Cleanliness
26–35,Female,Georgia,Employed,25K–50K,3–5,1–2 days,Leisure,Deluxe,Hotel Website,"Pool, Airport Pickup",4,5,3,3,"Airport Pickup + Late Checkout, Wellness Package",Evening,No,None,Rarely,4,Probably Yes,>₹12000,Yes,"High Prices, Lack of Cleanliness"
26–35,Male,Oman,Employed,76K–1L,6–10,1–2 days,Business,Standard,OTA,"Spa, Restaurant, Gym, Airport Pickup",3,4,5,2,Gym + Breakfast,Morning,Yes,Basic,Rarely,3,Probably Yes,>₹12000,Yes,
36–50,Female,Vietnam,Retired,51K–75K,6–10,3–5,Leisure,Budget,Hotel Website,"Spa, Pool",3,3,2,4,Wellness Package,Evening,Yes,Basic,Frequently,5,Definitely No,₹5001–₹8000,Yes,"Limited Wellness Services, Poor Staff Behavior, Limited Food Options"
26–35,Female,French Polynesia,Student,<25K,3–5,3–5,Leisure,Standard,OTA,"Restaurant, Airport Pickup, Room Service, Gym",4,5,3,3,"Airport Pickup + Late Checkout, Spa + Dinner",Evening,No,None,Rarely,3,Probably Yes,₹2000–₹5000,Yes,"Limited Food Options, Poor Staff Behavior"
26–35,Male,Belarus,Self-Employed,76K–1L,1–2 times,6–10,Business,Deluxe,Agent,"Gym, Spa, Room Service",5,3,3,3,Wellness Package,Morning,Yes,Gold,Frequently,2,Probably No,₹5001–₹8000,Yes,
36–50,Female,Costa Rica,Unemployed,25K–50K,3–5,3–5,Leisure,Standard,OTA,Restaurant,3,4,5,4,Spa + Dinner,Evening,No,None,Rarely,3,Probably Yes,₹8001–₹12000,Yes,Limited Wellness Services
18–25,Male,Belgium,Employed,51K–75K,1–2 times,3–5,Medical,Deluxe,Agent,"Room Service, Pool",5,5,5,2,Spa + Dinner,Evening,No,None,Frequently,3,Not Sure,₹2000–₹5000,Yes,
26–35,Female,Rwanda,Unemployed,51K–75K,6–10,>10,Medical,Suite,Agent,"Room Service, Gym, Airport Pickup, Spa",5,4,5,5,Wellness Package,Morning,Yes,Basic,Sometimes,4,Definitely Yes,₹5001–₹8000,Yes,"High Prices, Poor Staff Behavior"
26–35,Non-binary,Congo,Student,25K–50K,6–10,6–10,Business,Deluxe,OTA,"Pool, Spa, Airport Pickup",3,4,3,3,Wellness Package,Evening,No,None,Frequently,5,Probably No,₹8001–₹12000,Yes,"Limited Food Options, Lack of Cleanliness, Limited Wellness Services"
26–35,Female,Russian Federation,Employed,<25K,6–10,>10,Business,Deluxe,OTA,"Room Service, Gym, Restaurant",3,3,5,3,"Spa + Dinner, Wellness Package",Afternoon,Yes,Platinum,Frequently,5,Definitely Yes,₹2000–₹5000,Yes,
36–50,Male,Georgia,Employed,25K–50K,6–10,3–5,Business,Standard,OTA,"Airport Pickup, Room Service",3,2,4,3,Airport Pickup + Late Checkout,Afternoon,Yes,Platinum,Sometimes,2,Probably Yes,<₹2000,Yes,
26–35,Female,Seychelles,Self-Employed,>1L,3–5,1–2 days,Medical,Budget,Agent,"Airport Pickup, Restaurant",3,4,4,4,"Gym + Breakfast, Wellness Package",Evening,No,None,Frequently,4,Probably Yes,₹5001–₹8000,No,High Prices
36–50,Female,British Virgin Islands,Unemployed,51K–75K,1–2 times,1–2 days,Business,Suite,OTA,"Gym, Spa, Restaurant",2,3,4,5,Wellness Package,Evening,No,None,Sometimes,5,Probably Yes,₹8001–₹12000,Yes,Poor Staff Behavior
36–50,Male,Cuba,Employed,51K–75K,6–10,6–10,Leisure,Standard,Hotel Website,Airport Pickup,3,3,3,4,Gym + Breakfast,Evening,No,None,Sometimes,4,Probably Yes,>₹12000,Yes,"High Prices, Delayed Check-in, Limited Food Options"
18–25,Female,Maldives,Self-Employed,51K–75K,3–5,1–2 days,Business,Budget,Agent,Gym,5,3,3,4,"Spa + Dinner, Gym + Breakfast",Evening,Yes,Platinum,Sometimes,3,Probably No,<₹2000,No,High Prices
36–50,Male,Sweden,Employed,25K–50K,6–10,3–5,Leisure,Deluxe,OTA,"Spa, Restaurant, Pool, Gym",3,3,3,4,Gym + Breakfast,Late Night,Yes,Gold,Frequently,4,Definitely Yes,₹5001–₹8000,Yes,"Poor Staff Behavior, High Prices"
26–35,Female,Mauritania,Employed,51K–75K,3–5,3–5,Leisure,Standard,Hotel Website,Spa,3,3,4,3,Airport Pickup + Late Checkout,Late Night,Yes,Gold,Frequently,3,Definitely Yes,₹5001–₹8000,Yes,"Delayed Check-in, Lack of Cleanliness"
18–25,Male,Azerbaijan,Employed,76K–1L,1–2 times,3–5,Leisure,Standard,OTA,"Restaurant, Airport Pickup, Room Service",2,4,4,2,"Spa + Dinner, Gym + Breakfast",Morning,Yes,Platinum,Rarely,4,Definitely Yes,₹2000–₹5000,Yes,
51–65,Male,Jamaica,Unemployed,25K–50K,>10,3–5,Business,Standard,OTA,"Room Service, Gym, Restaurant",4,3,3,3,Spa + Dinner,Afternoon,No,None,Sometimes,2,Definitely Yes,₹5001–₹8000,No,High Prices
>65,Male,Slovakia (Slovak Republic),Self-Employed,25K–50K,1–2 times,1–2 days,Leisure,Standard,Hotel Website,"Gym, Spa, Airport Pickup",4,4,5,3,Spa + Dinner,Morning,Yes,Platinum,Frequently,4,Probably Yes,₹2000–₹5000,No,Delayed Check-in
